Customer_ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,rfm_segment,segment
12346.0,327,12,77556.46,2,5,5,255,25,cant_loose
12347.0,3,8,5633.32,5,4,5,545,54,champions
12348.0,76,5,2019.4,3,4,4,344,34,loyal_customers
12349.0,20,4,4428.69,5,3,5,535,53,potential_loyalists
12350.0,311,1,334.4,2,1,2,212,21,hibernating
12351.0,376,1,300.93,2,1,2,212,21,hibernating
12352.0,37,10,2849.84,4,5,4,454,45,loyal_customers
12353.0,205,2,406.76,2,2,2,222,22,hibernating
12354.0,233,1,1079.4,2,1,3,213,21,hibernating
12355.0,215,2,947.61,2,2,3,223,22,hibernating
12356.0,24,6,6371.73,4,4,5,445,44,loyal_customers
12357.0,34,3,18287.66,4,3,5,435,43,potential_loyalists
12358.0,3,5,3887.07,5,4,5,545,54,champions
12359.0,59,10,8873.39,4,5,5,455,45,loyal_customers
12360.0,53,8,4252.89,4,4,5,445,44,loyal_customers
12361.0,288,4,511.25,2,3,2,232,23,at_risk
12362.0,4,11,5356.23,5,5,5,555,55,champions
12363.0,111,2,552.0,3,2,2,322,32,about_to_sleep
12364.0,9,4,1313.1,5,3,4,534,53,potential_loyalists
12365.0,292,2,641.38,2,2,3,223,22,hibernating
12366.0,635,1,500.24,1,1,2,112,11,hibernating
12367.0,5,1,168.9,5,1,1,511,51,new_customers
12368.0,629,1,917.6999999999999,1,1,3,113,11,hibernating
12369.0,414,3,1791.15,1,3,4,134,13,at_risk
12370.0,52,7,4316.56,4,4,5,445,44,loyal_customers
12371.0,46,5,4067.38,4,4,5,445,44,loyal_customers
12372.0,73,3,1298.04,3,3,4,334,33,need_attention
12373.0,312,3,1127.65,2,3,3,233,23,at_risk
12374.0,26,4,2989.2200000000003,4,3,5,435,43,potential_loyalists
12375.0,12,2,457.5,5,2,2,522,52,potential_loyalists
12376.0,391,2,503.15,2,2,2,222,22,hibernating
12377.0,316,4,3426.32,2,3,5,235,23,at_risk
12378.0,131,2,5416.32,3,2,5,325,32,about_to_sleep
12379.0,83,4,1620.22,3,3,4,334,33,need_attention
12380.0,23,11,9676.300000000001,4,5,5,455,45,loyal_customers
12381.0,6,5,1845.31,5,4,4,544,54,champions
12383.0,186,5,1850.56,3,4,4,344,34,loyal_customers
12384.0,30,2,585.27,4,2,2,422,42,potential_loyalists
12385.0,380,1,1938.4,2,1,4,214,21,hibernating
12386.0,339,2,660.8,2,2,3,223,22,hibernating
12387.0,416,1,143.94,1,1,1,111,11,hibernating
12388.0,17,8,3901.11,5,4,5,545,54,champions
12389.0,404,3,1433.33,2,3,4,234,23,at_risk
12390.0,81,1,549.84,3,1,2,312,31,about_to_sleep
12391.0,23,6,2724.84,4,4,4,444,44,loyal_customers
12392.0,592,1,234.75000000000003,1,1,1,111,11,hibernating
12393.0,73,6,2399.4500000000003,3,4,4,344,34,loyal_customers
12394.0,65,2,1272.48,3,2,4,324,32,about_to_sleep
12395.0,20,15,5067.27,5,5,5,555,55,champions
12396.0,675,1,931.43,1,1,3,113,11,hibernating
12397.0,37,2,2409.9,4,2,4,424,42,potential_loyalists
12398.0,47,1,1635.6599999999999,4,1,4,414,41,promising
12399.0,120,7,1962.3,3,4,4,344,34,loyal_customers
12400.0,415,1,205.25,1,1,1,111,11,hibernating
12401.0,304,1,84.3,2,1,1,211,21,hibernating
12402.0,324,6,1256.9,2,4,4,244,24,at_risk
12403.0,51,2,1019.36,4,2,3,423,42,potential_loyalists
12404.0,683,1,63.24,1,1,1,111,11,hibernating
12405.0,150,1,1710.39,3,1,4,314,31,about_to_sleep
12406.0,23,5,6390.36,4,4,5,445,44,loyal_customers
12407.0,51,5,1708.1200000000001,4,4,4,444,44,loyal_customers
12408.0,34,8,4340.7699999999995,4,4,5,445,44,loyal_customers
12409.0,80,7,23419.29,3,4,5,345,34,loyal_customers
12410.0,310,3,1013.71,2,3,3,233,23,at_risk
12411.0,411,1,346.9,2,1,2,212,21,hibernating
12412.0,76,6,2596.93,3,4,4,344,34,loyal_customers
12413.0,68,4,999.45,3,3,3,333,33,need_attention
12414.0,218,6,952.41,2,4,3,243,24,at_risk
12415.0,25,28,144458.37,4,5,5,455,45,loyal_customers
12416.0,658,1,202.56,1,1,1,111,11,hibernating
12417.0,4,20,6797.41,5,5,5,555,55,champions
12418.0,114,4,2021.2,3,3,4,334,33,need_attention
12419.0,387,2,503.01,2,2,2,222,22,hibernating
12420.0,65,1,600.39,3,1,2,312,31,about_to_sleep
12421.0,17,6,1098.6,5,4,3,543,54,champions
12422.0,97,17,5231.8,3,5,5,355,35,loyal_customers
12423.0,2,10,2622.39,5,5,4,554,55,champions
12424.0,164,4,3340.03,3,3,5,335,33,need_attention
12425.0,79,2,1741.41,3,2,4,324,32,about_to_sleep
12426.0,196,2,1345.21,2,2,4,224,22,hibernating
12427.0,23,3,1129.3,4,3,3,433,43,potential_loyalists
12428.0,27,9,7956.46,4,5,5,455,45,loyal_customers
12429.0,10,8,7485.91,5,4,5,545,54,champions
12430.0,44,1,256.4,4,1,1,411,41,promising
12431.0,37,27,10790.47,4,5,5,455,45,loyal_customers
12432.0,44,5,5059.32,4,4,5,445,44,loyal_customers
12433.0,2,10,20581.26,5,5,5,555,55,champions
12434.0,86,3,1103.43,3,3,3,333,33,need_attention
12435.0,81,6,13925.93,3,4,5,345,34,loyal_customers
12436.0,101,1,509.01,3,1,2,312,31,about_to_sleep
12437.0,3,39,12683.4,5,5,5,555,55,champions
12438.0,15,2,2906.85,5,2,4,524,52,potential_loyalists
12439.0,684,2,1142.88,1,2,3,123,12,hibernating
12440.0,463,2,859.2,1,2,3,123,12,hibernating
12441.0,368,1,347.1,2,1,2,212,21,hibernating
12442.0,4,1,172.06,5,1,1,511,51,new_customers
12443.0,733,1,485.31,1,1,2,112,11,hibernating
12444.0,22,5,5005.46,4,4,5,445,44,loyal_customers
12445.0,23,2,434.98,4,2,2,422,42,potential_loyalists
12446.0,59,1,1002.3100000000001,4,1,3,413,41,promising
12447.0,244,1,476.49,2,1,2,212,21,hibernating
12448.0,45,1,449.45,4,1,2,412,41,promising
12449.0,23,6,4835.89,4,4,5,445,44,loyal_customers
12450.0,157,5,688.2,3,4,3,343,34,loyal_customers
12451.0,12,8,12669.88,5,4,5,545,54,champions
12452.0,18,2,430.57,5,2,2,522,52,potential_loyalists
12453.0,135,1,707.09,3,1,3,313,31,about_to_sleep
12454.0,57,5,16679.78,4,4,5,445,44,loyal_customers
12455.0,74,10,5879.95,3,5,5,355,35,loyal_customers
12456.0,45,3,3181.04,4,3,5,435,43,potential_loyalists
12457.0,67,8,2995.91,3,4,5,345,34,loyal_customers
12458.0,72,4,1777.49,3,3,4,334,33,need_attention
12459.0,606,1,454.36,1,1,2,112,11,hibernating
12460.0,457,1,326.65,1,1,2,112,11,hibernating
12461.0,95,2,826.88,3,2,3,323,32,about_to_sleep
12462.0,20,2,1189.59,5,2,3,523,52,potential_loyalists
12463.0,54,4,1344.78,4,3,4,434,43,potential_loyalists
12464.0,11,8,1212.05,5,4,3,543,54,champions
12465.0,18,2,742.1899999999999,5,2,3,523,52,potential_loyalists
12466.0,683,1,56.73,1,1,1,111,11,hibernating
12467.0,424,1,132.8,1,1,1,111,11,hibernating
12468.0,189,5,3670.74,3,4,5,345,34,loyal_customers
12469.0,524,2,3070.54,1,2,5,125,12,hibernating
12470.0,691,1,211.95,1,1,1,111,11,hibernating
12471.0,3,79,39918.19,5,5,5,555,55,champions
12472.0,33,19,17880.59,4,5,5,455,45,loyal_customers
12473.0,30,5,3928.0499999999997,4,4,5,445,44,loyal_customers
12474.0,18,31,12372.75,5,5,5,555,55,champions
12475.0,55,2,1149.64,4,2,3,423,42,potential_loyalists
12476.0,17,23,14083.91,5,5,5,555,55,champions
12477.0,24,9,20276.37,4,5,5,455,45,loyal_customers
12478.0,5,1,680.99,5,1,3,513,51,new_customers
12479.0,12,1,527.2,5,1,2,512,51,new_customers
12480.0,29,7,5464.85,4,4,5,445,44,loyal_customers
12481.0,24,15,12344.89,4,5,5,455,45,loyal_customers
12482.0,577,29,23691.4,1,5,5,155,15,cant_loose
12483.0,18,19,5097.18,5,5,5,555,55,champions
12484.0,34,12,6354.1,4,5,5,455,45,loyal_customers
12485.0,530,1,708.1,1,1,3,113,11,hibernating
12486.0,433,1,1037.28,1,1,3,113,11,hibernating
12487.0,732,1,285.29999999999995,1,1,1,111,11,hibernating
12488.0,11,3,1298.66,5,3,4,534,53,potential_loyalists
12489.0,337,1,334.93,2,1,2,212,21,hibernating
12490.0,6,21,9823.64,5,5,5,555,55,champions
12491.0,40,1,460.40000000000003,4,1,2,412,41,promising
12492.0,64,3,715.21,3,3,3,333,33,need_attention
12493.0,167,2,433.74,3,2,2,322,32,about_to_sleep
12494.0,17,9,1872.8700000000001,5,5,4,554,55,champions
12495.0,642,1,357.4,1,1,2,112,11,hibernating
12496.0,621,2,45.34,1,2,1,121,12,hibernating
12497.0,83,3,6248.5,3,3,5,335,33,need_attention
12498.0,22,3,403.70000000000005,4,3,2,432,43,potential_loyalists
12499.0,561,1,393.72,1,1,2,112,11,hibernating
12500.0,24,19,5955.21,4,5,5,455,45,loyal_customers
12501.0,338,1,2169.39,2,1,4,214,21,hibernating
12502.0,97,5,3723.87,3,4,5,345,34,loyal_customers
12503.0,585,1,1126.0,1,1,3,113,11,hibernating
12504.0,19,4,779.05,5,3,3,533,53,potential_loyalists
12505.0,410,1,955.2,2,1,3,213,21,hibernating
12506.0,234,1,73.5,2,1,1,211,21,hibernating
12507.0,135,4,1844.06,3,3,4,334,33,need_attention
12508.0,27,2,397.88,4,2,2,422,42,potential_loyalists
12509.0,285,1,176.5,2,1,1,211,21,hibernating
12510.0,144,9,5178.02,3,5,5,355,35,loyal_customers
12511.0,430,1,3084.02,1,1,5,115,11,hibernating
